,2018,2019,2020,2021,2022,2023,2024
AMZN,,,,,,,
TSLA,,,,,,,
WMT,,,,,,,
DIS,,,,,,,
F,,,,,,,
PG,,,,,,,
COST,,,,,,,
KO,,,,,,,
PEP,,,,,,,
XOM,,,,,,,
CVX,,,,,,,
BP,,,,,,,
TTE,,,,,,,
JPM,,,,,,,
V,,,,,,,
MA,,,,,,,
BAC,,,,,,,
JNJ,,,,,,,
PFE,,,,,,,
MRK,,,,,,,
ABT,,,,,,,
UNH,,,,,,,
GE,,,,,,,
BA,,,,,,,
MMM,,,,,,,
CAT,,,,,,,
HON,,,,,,,
AAPL,,,,,,,
MSFT,,,,,,,
GOOGL,,,,,,,
NVDA,,,,,,,
